SR_NUM,COUNTRY,POSTAL_CODE,SITE_NAME,STATE,CITY,COUNTY_NAME,PHONE_NUM,SITE_TYPE,SITE_OWNERSHIP,ACCOUNT_NUM,CONCAT_ADDRESS
100002,USA,923,hospital san francisco,pr,san juan,SAN JUAN,(787) 767-5100,Acute Care Hospitals,Proprietary,20284,371 de diego ave
100003,USA,3301,new hampshire hosppsych unit,nh,concord,MERRIMACK,(603) 271-5300,Psychiatric,Government - State,65841,36 clintonstreet
100005,USA,3304,new hampshire psychiatric hospital,mh,concordia,MERIMAK,(603) 271-5300,Psychiatric,Government - State,71022,36 clintonst
100007,USA,4092,spring harbor hospital,me,westbrook,CUMBERLAND,(207) 761-2200,Psychiatric,Government - Federal,15027,123 andover road
100009,USA,6250,natchaug hospital,ct,mansfield center,TOLLAND,(860) 456-1311,Psychiatric,Voluntary non-profit - Private,33239,189 storrsrd
100010,USA,7112,newark beth israel medical center,nj,newark,ESSEX,(973) 926-7850,Acute Care Hospitals,Voluntary non-profit - Private,18877,201 lyonsave
100011,USA,19460,phoenixville hospital,pa,phoenixville,CHESTER,(610) 983-1000,Acute Care Hospitals,Proprietary,44494,140 nutt road
100012,USA,19605,st joseph medical center,pa,reading,BERKS,(610) 378-2000,Acute Care Hospitals,Voluntary non-profit - Church,13958,2500 bernville road
100013,USA,20904,adventist healthcare white oak medical center,md,silver spring,MONTGOMERY,(301) 891-5651,Acute Care Hospitals,Voluntary non-profit - Private,65228,12100 plumorchard drive
100014,USA,21209,mount washington pediatric hospital,md,baltimore,BALTIMORE CITY,(410) 578-5050,Childrens,Voluntary non-profit - Private,30570,1708 westrogers avenue
100015,USA,21613,eastern shore hospital center,md,cambridge,DORCHESTER,(410) 221-2525,Psychiatric,Government - State,44283,post office box 800
100016,USA,27536,maria parham medical center,nc,henderson,VANCE,(252) 431-3708,Acute Care Hospitals,Proprietary,83477,po box 59
100017,USA,28675,alleghany county memorial hospital,nc,sparta,ALLEGHANY,(336) 372-5511,Critical Access Hospitals,Voluntary non-profit - Private,81317,617 doctors street
100018,USA,28719,cherokee indian hospital authority,nc,cherokee,SWAIN,(704) 497-9163,Acute Care Hospitals,Government - Federal,84159,caller boxc268
100019,USA,29212,prisma health baptist parkridge,sc,columbia,LEXINGTON,(803) 907-7011,Acute Care Hospitals,Voluntary non-profit - Private,12350,400 palmetto healthparkway
100020,USA,29801,aiken regional medical center,sc,aiken,AIKEN,(803) 641-5900,Acute Care Hospitals,Proprietary,17647,302 university parkway
100021,USA,32130,suncoast health center,fl,brandenton,MANTEE,(941) 792-2222,Psychiatric,Proprietary,75960,4480 51west street
100022,USA,32237,hospital of douglas gardens,fl,miami florida,MIAMI,(305) 751-8626,Acute Care Hospitals,Voluntary non-profit - Private,85882,5200 ne 2nd ave
100023,USA,32821,central florida behavioral hospital,fl,orlando,ORANGE,(407) 370-0111,Psychiatric,Proprietary,25482,6601 central floridaparkway
100025,USA,33853,adventhealth lake wales,fl,lake wales,POLK,(863) 676-1433,Acute Care Hospitals,Proprietary,82422,410 s 11thst
100029,USA,36925,hill hospital of sumter county,al,york,SUMTER,(205) 392-5263,Acute Care Hospitals,Voluntary non-profit - Other,52770,751 derbydrive
100030,USA,39530,81st medical group keesler afb,ms,biloxi,HARRISON,(228) 377-6393,Acute Care - Department of Defense,Department of Defense,45484,81 mdg 301fisher st suite 109
100031,USA,39735,choctaw regional medical center,ms,ackerman,CHOCTAW,(662) 285-4400,Critical Access Hospitals,Government - Local,93392,8613 ms hwy 12
100033,USA,41701,hazard arh regional medical center,ky,hazard,PERRY,(606) 439-6600,Acute Care Hospitals,Voluntary non-profit - Private,19109,100 medical center drive
100034,USA,44308,akron childrens hospital,oh,akron,SUMMIT,(330) 543-1000,Childrens,Voluntary non-profit - Private,39211,1 perkinssquare
100035,USA,46947,four county counseling center,in,logansport,CASS,(574) 722-5151,Psychiatric,Voluntary non-profit - Private,88102,1015 michigan ave
100036,USA,47025,highpoint health,in,lawrenceburg,DEARBORN,(812) 537-1010,Acute Care Hospitals,Government - Local,40531,600 wilsoncreek rd
100037,USA,50126,hansen family hospital,ia,iowa falls,HARDIN,(641) 648-4631,Critical Access Hospitals,Government - Local,88959,920 southoak street
100039,USA,55102,st josephs hospital,mn,saint paul,RAMSEY,(651) 232-3000,Acute Care Hospitals,Voluntary non-profit - Private,24483,45 west 10th street
100040,USA,59230,frances mahon deaconess hospital,mt,glasgow,VALLEY,(406) 228-3500,Critical Access Hospitals,Voluntary non-profit - Private,52262,621 3rd sts
100041,USA,60629,holy cross hospital,il,chicago,COOK,(773) 884-9000,Acute Care Hospitals,Voluntary non-profit - Private,90454,2701 w 68th street
100042,USA,60970,iroquois memorial hospital,il,watseka,IROQUOIS,(815) 432-5201,Acute Care Hospitals,Voluntary non-profit - Private,15601,200 fairman street
100043,USA,62906,choate mental health  development ctr,il,anna,UNION,(618) 833-5161,Psychiatric,Government - State,50857,1000 n main st
100046,USA,63110,st louis childrens hospital,mo,saint louis,ST. LOUIS CITY,(314) 454-6000,Childrens,Voluntary non-profit - Other,21955,one childrens place
100048,USA,67735,goodland regional medical center,ks,goodland,SHERMAN,(785) 890-3625,Critical Access Hospitals,Government - Local,28392,220 west second street
100050,USA,70508,compass behavioral center of lafayette,la,lafayette,LAFAYETTE,(337) 534-4655,Psychiatric,Proprietary,79020,312 youngsville highway
100051,USA,72301,woodridge behavioral center,ar,west memphis,CRITTENDEN,(870) 394-4113,Psychiatric,Proprietary,70116,600 north7th street
100053,USA,73573,jefferson county hospital,ok,waurika,JEFFERSON,(580) 228-2344,Critical Access Hospitals,Voluntary non-profit - Private,59571,intersection hyws 81 70
100054,USA,77338,memorial hermann northeast hospital,tx,humble,HARRIS,(281) 540-7700,Acute Care Hospitals,Voluntary non-profit - Private,15859,18951 memorial north
100055,USA,79714,permian regional medical center andrews county ho,tx,andrews,ANDREWS,(432) 523-2200,Acute Care Hospitals,Government - Hospital District or Authority,59514,720 hospital drive
100056,USA,83704,intermountain hospital,id,boise,ADA,(208) 377-8400,Psychiatric,Proprietary,85487,303 northallumbaughstreet
100058,USA,83704,treasure valley hospital,id,boise,ADA,(208) 373-5000,Acute Care Hospitals,Proprietary,63165,8800 westemerald street
100059,USA,86505,sage memorial hospital,az,ganado,APACHE,(928) 755-4541,Critical Access Hospitals,Voluntary non-profit - Private,71730,state route 264 south 191
100061,USA,88415,union county general hospital,nm,clayton,UNION,(575) 374-7001,Critical Access Hospitals,Voluntary non-profit - Other,24708,300 wilsonstreet
100062,USA,90806,memorial care miller childrens  womens hosp lb,ca,long beach,LOS ANGELES,(562) 933-8001,Childrens,Voluntary non-profit - Other,28485,2801 atlantic avenue
100063,USA,97836,pioneer memorial hospital,or,heppner,MORROW,(541) 676-9133,Critical Access Hospitals,Government - Hospital District or Authority,45769,564 e pioneer drive
100064,USA,98271,smokey point behavioral hospital,wa,marysville,SNOHOMISH,(212) 243-5565,Psychiatric,Proprietary,50969,3955 156thst ne
100065,USA,98277,nh oak harbor,wa,oak harbor,ISLAND,(360) 257-9500,Acute Care - Department of Defense,Department of Defense,64163,3475 northsaratogastreet
